Assume 16-bit values.				
				
Hexadecimal	Unsigned Decimal	Signed Decimal	Octal	Binary
003F 	63	-	000077	-
0062	98	-	000142	-
FFFD	65533	-3	177775	1111 1111 1111 1101
0332	818	818	-	-
18DC	6364	-	014334	0001 1000 1101 1100 
00F1	241	241	-	-
FFC3 	65475	-61	-	1111 1111 1100 0011
-	30114	30114	-	0111 0101 1110 0010
F0DB	-	-3877	170333	1111 0000 1101 1011
3D6B	15723	-	-	0011 1101 0110 1011 
0184	-	-	000604	0000 0001 1000 0100
				
Assume 16-bit arithmetic.				
				
	Saturated Sum	Modular Sum	Carry? (y/n)	Overflow? (y/n)
0006 + 000A	0010	0010	n	n
014C + FFF6	0142	0142	y	n
03C8 + 00CC	0484	0494	n	n
8C1A + A27D	8000	2E97	y 	y 
876A + BEC6	8000	4630	y 	y
0EC7 + 21FE	30C5	30C5	n 	n
0882 + 0E6A	16EC	16EC	n	n
7615 + 6BA5	7FFF	E1BA	n	y
